id,partical_id,source_x,source_y,dest_x,dest_y,Timestamp
65425,1,60,0,60,1,"2017-01-31 10:06:01"
65426,10,120,0,120,1,"2017-01-31 10:06:02"
65427,11,180,0,180,1,"2017-01-31 10:06:02"
65428,12,240,0,240,1,"2017-01-31 10:06:02"
65429,13,300,0,300,1,"2017-01-31 10:06:03"
65430,14,360,0,360,1,"2017-01-31 10:06:03"
65431,15,420,0,420,1,"2017-01-31 10:06:03"
65432,16,480,0,480,1,"2017-01-31 10:06:03"
65433,17,540,0,540,1,"2017-01-31 10:06:04"
65434,18,5,0,5,1,"2017-01-31 10:06:04"
65435,2,60,805,60,804,"2017-01-31 10:06:04"
65436,20,120,805,120,804,"2017-01-31 10:06:05"
65437,21,180,805,180,804,"2017-01-31 10:06:05"
65438,22,240,805,240,804,"2017-01-31 10:06:05"
65439,23,300,805,300,804,"2017-01-31 10:06:05"
65440,24,360,805,360,804,"2017-01-31 10:06:06"
65441,25,420,805,420,804,"2017-01-31 10:06:06"
65442,26,480,805,480,804,"2017-01-31 10:06:06"
65443,27,540,805,540,804,"2017-01-31 10:06:06"
65444,28,6,805,6,804,"2017-01-31 10:06:06"
65445,3,586,80,585,80,"2017-01-31 10:06:06"
65446,30,586,160,585,160,"2017-01-31 10:06:07"
65447,32,586,320,585,320,"2017-01-31 10:06:07"
65448,31,586,240,585,240,"2017-01-31 10:06:07"
65449,33,586,400,585,400,"2017-01-31 10:06:07"
65450,34,586,480,585,480,"2017-01-31 10:06:07"
65451,35,586,560,585,560,"2017-01-31 10:06:07"
65452,36,586,640,585,640,"2017-01-31 10:06:08"
65453,37,586,720,585,720,"2017-01-31 10:06:08"
65454,38,586,800,585,800,"2017-01-31 10:06:08"
65455,4,0,80,1,80,"2017-01-31 10:06:08"
65456,41,0,240,1,240,"2017-01-31 10:06:08"
65457,40,0,160,1,160,"2017-01-31 10:06:08"
65458,42,0,320,1,319,"2017-01-31 10:06:09"
65459,43,0,400,1,400,"2017-01-31 10:06:09"
65460,44,0,480,1,480,"2017-01-31 10:06:10"
65461,45,0,560,1,560,"2017-01-31 10:06:10"
65462,46,0,640,1,640,"2017-01-31 10:06:10"
65463,47,0,720,1,720,"2017-01-31 10:06:10"
65464,48,0,800,1,800,"2017-01-31 10:06:11"
65465,1,60,1,60,2,"2017-01-31 10:06:11"
65466,38,585,800,584,800,"2017-01-31 10:06:11"
65467,11,180,1,180,2,"2017-01-31 10:06:11"
65468,12,240,1,240,2,"2017-01-31 10:06:11"
65469,13,300,1,300,2,"2017-01-31 10:06:12"
65470,14,360,1,360,2,"2017-01-31 10:06:12"
65471,15,420,1,420,2,"2017-01-31 10:06:12"
65472,16,480,1,480,2,"2017-01-31 10:06:13"
65473,17,540,1,540,2,"2017-01-31 10:06:13"
65474,18,5,1,6,2,"2017-01-31 10:06:13"
65475,2,60,804,60,803,"2017-01-31 10:06:14"
65476,20,120,804,120,803,"2017-01-31 10:06:14"
65477,21,180,804,180,803,"2017-01-31 10:06:14"
65478,22,240,804,241,804,"2017-01-31 10:06:14"
65479,23,300,804,300,803,"2017-01-31 10:06:14"
65480,24,360,804,360,803,"2017-01-31 10:06:15"
65481,25,420,804,420,803,"2017-01-31 10:06:15"
65482,26,480,804,480,803,"2017-01-31 10:06:15"
65483,27,540,804,540,803,"2017-01-31 10:06:15"
65484,28,6,804,6,803,"2017-01-31 10:06:15"
65485,3,585,80,584,80,"2017-01-31 10:06:16"
65486,30,585,160,584,160,"2017-01-31 10:06:16"
65487,32,585,320,584,320,"2017-01-31 10:06:16"
65488,31,585,240,584,240,"2017-01-31 10:06:16"
65489,33,585,400,584,400,"2017-01-31 10:06:16"
65490,34,585,480,584,480,"2017-01-31 10:06:17"
65491,35,585,560,584,560,"2017-01-31 10:06:17"
65492,36,585,640,584,640,"2017-01-31 10:06:17"
65493,37,585,720,584,720,"2017-01-31 10:06:17"
65494,10,120,1,120,2,"2017-01-31 10:06:18"
65495,41,1,240,2,240,"2017-01-31 10:06:18"
65496,40,1,160,2,160,"2017-01-31 10:06:18"
65497,42,1,319,2,319,"2017-01-31 10:06:18"
65498,43,1,400,2,400,"2017-01-31 10:06:18"
65499,44,1,480,2,480,"2017-01-31 10:06:19"
65500,45,1,560,2,560,"2017-01-31 10:06:19"
65501,46,1,640,2,640,"2017-01-31 10:06:19"
65502,47,1,720,2,720,"2017-01-31 10:06:19"
65503,48,1,800,2,800,"2017-01-31 10:06:20"
65504,4,1,80,2,80,"2017-01-31 10:06:20"
65505,1,60,2,60,3,"2017-01-31 10:06:20"
65506,41,2,240,3,241,"2017-01-31 10:06:20"
65507,40,2,160,3,160,"2017-01-31 10:06:20"
65508,47,2,720,3,720,"2017-01-31 10:06:21"
65509,43,2,400,3,400,"2017-01-31 10:06:21"
65510,44,2,480,3,480,"2017-01-31 10:06:21"
65511,45,2,560,3,560,"2017-01-31 10:06:21"
65512,46,2,640,3,640,"2017-01-31 10:06:21"
65513,10,120,2,120,3,"2017-01-31 10:06:22"
65514,38,584,800,583,800,"2017-01-31 10:06:22"
65515,48,2,800,3,800,"2017-01-31 10:06:22"
65516,42,2,319,3,319,"2017-01-31 10:06:22"
65517,4,2,80,3,80,"2017-01-31 10:06:23"
65518,45,3,560,4,560,"2017-01-31 10:06:23"
65519,44,3,480,4,480,"2017-01-31 10:06:23"
65520,43,3,400,4,400,"2017-01-31 10:06:23"
65521,47,3,720,4,720,"2017-01-31 10:06:23"
65522,41,3,241,3,242,"2017-01-31 10:06:23"
65523,17,540,2,540,3,"2017-01-31 10:06:24"
65524,1,60,3,60,4,"2017-01-31 10:06:24"
65525,46,3,640,4,640,"2017-01-31 10:06:24"
65526,11,180,2,180,3,"2017-01-31 10:06:24"
65527,12,240,2,240,3,"2017-01-31 10:06:25"
65528,13,300,2,300,3,"2017-01-31 10:06:25"
65529,14,360,2,360,3,"2017-01-31 10:06:25"
65530,15,420,2,420,3,"2017-01-31 10:06:25"
65531,16,480,2,480,3,"2017-01-31 10:06:26"
65532,40,3,160,4,160,"2017-01-31 10:06:26"
65533,18,6,2,6,3,"2017-01-31 10:06:26"
65534,2,60,803,60,802,"2017-01-31 10:06:26"
65535,20,120,803,120,802,"2017-01-31 10:06:27"
65536,21,180,803,180,802,"2017-01-31 10:06:27"
65537,22,241,804,242,804,"2017-01-31 10:06:27"
65538,23,300,803,300,802,"2017-01-31 10:06:27"
65539,24,360,803,360,802,"2017-01-31 10:06:28"
65540,25,420,803,420,802,"2017-01-31 10:06:28"
65541,26,480,803,480,802,"2017-01-31 10:06:28"
65542,27,540,803,540,802,"2017-01-31 10:06:28"
65543,28,6,803,6,802,"2017-01-31 10:06:28"
65544,3,584,80,583,80,"2017-01-31 10:06:29"
65545,30,584,160,583,160,"2017-01-31 10:06:29"
65546,32,584,320,583,320,"2017-01-31 10:06:29"
65547,31,584,240,583,240,"2017-01-31 10:06:29"
65548,33,584,400,583,400,"2017-01-31 10:06:30"
65549,34,584,480,583,480,"2017-01-31 10:06:30"
65550,35,584,560,583,560,"2017-01-31 10:06:30"
65551,36,584,640,583,641,"2017-01-31 10:06:30"
65552,37,584,720,583,720,"2017-01-31 10:06:30"
65553,10,120,3,120,4,"2017-01-31 10:06:31"
65554,17,540,3,540,4,"2017-01-31 10:06:31"
65555,41,3,242,3,241,"2017-01-31 10:06:31"
65556,47,4,720,5,720,"2017-01-31 10:06:31"
65557,43,4,400,5,400,"2017-01-31 10:06:32"
65558,44,4,480,5,480,"2017-01-31 10:06:32"
65559,45,4,560,5,560,"2017-01-31 10:06:32"
65560,4,3,80,4,79,"2017-01-31 10:06:33"
65561,42,3,319,4,320,"2017-01-31 10:06:33"
65562,48,3,800,4,800,"2017-01-31 10:06:34"
65563,38,583,800,582,801,"2017-01-31 10:06:34"
65564,46,4,640,5,640,"2017-01-31 10:06:34"
65565,1,60,4,60,5,"2017-01-31 10:06:34"
65566,41,3,241,3,242,"2017-01-31 10:06:35"
65567,47,5,720,6,720,"2017-01-31 10:06:35"
65568,43,5,400,6,400,"2017-01-31 10:06:35"
65569,44,5,480,6,480,"2017-01-31 10:06:35"
65570,45,5,560,6,560,"2017-01-31 10:06:36"
65571,4,4,79,5,79,"2017-01-31 10:06:36"
65572,42,4,320,5,320,"2017-01-31 10:06:36"
65573,48,4,800,5,800,"2017-01-31 10:06:36"
65574,11,180,3,180,4,"2017-01-31 10:06:37"
65575,17,540,4,540,5,"2017-01-31 10:06:37"
65576,46,5,640,6,641,"2017-01-31 10:06:37"
65577,38,582,801,581,802,"2017-01-31 10:06:37"
65578,12,240,3,240,4,"2017-01-31 10:06:37"
65579,13,300,3,300,4,"2017-01-31 10:06:38"
65580,14,360,3,360,4,"2017-01-31 10:06:38"
65581,15,420,3,420,4,"2017-01-31 10:06:38"
65582,16,480,3,480,4,"2017-01-31 10:06:38"
65583,40,4,160,5,160,"2017-01-31 10:06:38"
65584,18,6,3,6,4,"2017-01-31 10:06:39"
65585,2,60,802,60,801,"2017-01-31 10:06:39"
65586,20,120,802,120,801,"2017-01-31 10:06:39"
65587,21,180,802,180,801,"2017-01-31 10:06:39"
65588,22,242,804,243,804,"2017-01-31 10:06:39"
65589,23,300,802,300,801,"2017-01-31 10:06:40"
65590,24,360,802,360,801,"2017-01-31 10:06:40"
65591,25,420,802,420,801,"2017-01-31 10:06:40"
65592,26,480,802,480,801,"2017-01-31 10:06:40"
65593,27,540,802,540,801,"2017-01-31 10:06:40"
65594,28,6,802,6,801,"2017-01-31 10:06:41"
65595,3,583,80,582,80,"2017-01-31 10:06:41"
65596,30,583,160,582,160,"2017-01-31 10:06:41"
65597,32,583,320,582,320,"2017-01-31 10:06:41"
65598,31,583,240,582,240,"2017-01-31 10:06:41"
65599,33,583,400,582,400,"2017-01-31 10:06:42"
65600,34,583,480,582,480,"2017-01-31 10:06:42"
65601,35,583,560,582,560,"2017-01-31 10:06:42"
65602,36,583,641,582,640,"2017-01-31 10:06:42"
65603,37,583,720,582,720,"2017-01-31 10:06:43"
65604,10,120,4,120,5,"2017-01-31 10:06:43"
65605,11,180,4,180,5,"2017-01-31 10:06:43"
65606,48,5,800,6,800,"2017-01-31 10:06:43"
65607,42,5,320,6,320,"2017-01-31 10:06:44"
65608,4,5,79,5,80,"2017-01-31 10:06:44"
65609,45,6,560,7,560,"2017-01-31 10:06:44"
65610,44,6,480,7,480,"2017-01-31 10:06:44"
65611,43,6,400,7,400,"2017-01-31 10:06:45"
65612,47,6,720,7,720,"2017-01-31 10:06:45"
65613,41,3,242,3,241,"2017-01-31 10:06:45"
65614,1,60,5,61,5,"2017-01-31 10:06:46"
65615,17,540,5,540,6,"2017-01-31 10:06:46"
65616,37,582,720,581,720,"2017-01-31 10:06:46"
65617,36,582,640,581,640,"2017-01-31 10:06:47"
65618,35,582,560,581,560,"2017-01-31 10:06:47"
65619,34,582,480,581,480,"2017-01-31 10:06:47"
65620,33,582,400,581,400,"2017-01-31 10:06:47"
65621,31,582,240,581,240,"2017-01-31 10:06:47"
65622,32,582,320,581,320,"2017-01-31 10:06:48"
65623,30,582,160,581,160,"2017-01-31 10:06:48"
65624,3,582,80,581,80,"2017-01-31 10:06:49"
65625,28,6,801,6,800,"2017-01-31 10:06:49"
65626,27,540,801,540,800,"2017-01-31 10:06:49"
65627,26,480,801,480,800,"2017-01-31 10:06:49"
65628,25,420,801,420,800,"2017-01-31 10:06:50"
65629,24,360,801,360,800,"2017-01-31 10:06:50"
65630,23,300,801,300,800,"2017-01-31 10:06:50"
65631,22,243,804,244,803,"2017-01-31 10:06:50"
65632,21,180,801,180,800,"2017-01-31 10:06:50"
65633,20,120,801,120,800,"2017-01-31 10:06:50"
65634,2,60,801,60,800,"2017-01-31 10:06:51"
65635,18,6,4,7,5,"2017-01-31 10:06:51"
65636,40,5,160,6,160,"2017-01-31 10:06:51"
65637,16,480,4,480,5,"2017-01-31 10:06:51"
65638,15,420,4,421,4,"2017-01-31 10:06:51"
65639,14,360,4,360,5,"2017-01-31 10:06:52"
65640,13,300,4,300,5,"2017-01-31 10:06:52"
65641,12,240,4,240,5,"2017-01-31 10:06:52"
65642,38,581,802,580,803,"2017-01-31 10:06:52"
65643,46,6,641,7,641,"2017-01-31 10:06:53"
65644,1,61,5,62,5,"2017-01-31 10:06:53"
65645,41,3,241,3,242,"2017-01-31 10:06:53"
65646,47,7,720,8,720,"2017-01-31 10:06:53"
65647,43,7,400,8,400,"2017-01-31 10:06:54"
65648,44,7,480,8,480,"2017-01-31 10:06:54"
65649,45,7,560,8,560,"2017-01-31 10:06:54"
65650,4,5,80,6,81,"2017-01-31 10:06:54"
65651,42,6,320,7,320,"2017-01-31 10:06:54"
65652,48,6,800,7,800,"2017-01-31 10:06:55"
65653,11,180,5,180,6,"2017-01-31 10:06:55"
65654,10,120,5,120,6,"2017-01-31 10:06:55"
65655,27,540,800,540,799,"2017-01-31 10:06:55"
65656,26,480,800,480,799,"2017-01-31 10:06:56"
65657,25,420,800,420,799,"2017-01-31 10:06:56"
65658,24,360,800,360,799,"2017-01-31 10:06:56"
65659,23,300,800,300,799,"2017-01-31 10:06:56"
65660,22,244,803,244,802,"2017-01-31 10:06:57"
65661,21,180,800,180,799,"2017-01-31 10:06:57"
65662,20,120,800,120,799,"2017-01-31 10:06:57"
65663,2,60,800,60,799,"2017-01-31 10:06:57"
65664,18,7,5,7,6,"2017-01-31 10:06:57"
65665,40,6,160,7,160,"2017-01-31 10:06:58"
65666,16,480,5,480,6,"2017-01-31 10:06:58"
65667,15,421,4,422,5,"2017-01-31 10:06:58"
65668,14,360,5,360,6,"2017-01-31 10:06:58"
65669,13,300,5,300,6,"2017-01-31 10:06:58"
65670,12,240,5,240,6,"2017-01-31 10:06:59"
65671,38,580,803,581,804,"2017-01-31 10:06:59"
65672,17,540,6,540,7,"2017-01-31 10:06:59"
65673,28,6,800,6,799,"2017-01-31 10:06:59"
65674,11,180,6,180,7,"2017-01-31 10:06:59"
65675,48,7,800,8,800,"2017-01-31 10:07:00"
65676,42,7,320,8,320,"2017-01-31 10:07:00"
65677,13,300,6,300,7,"2017-01-31 10:07:00"
65678,14,360,6,360,7,"2017-01-31 10:07:00"
65679,15,422,5,422,6,"2017-01-31 10:07:00"
65680,16,480,6,480,7,"2017-01-31 10:07:01"
65681,40,7,160,8,160,"2017-01-31 10:07:01"
65682,18,7,6,7,7,"2017-01-31 10:07:01"
65683,2,60,799,60,798,"2017-01-31 10:07:01"
65684,20,120,799,120,798,"2017-01-31 10:07:01"
65685,21,180,799,180,798,"2017-01-31 10:07:02"
